# Simplified netlist  (638 components, 741 nets)
# source: c:\Users\me\Downloads\MB1939.net

== COMPONENTS ==
B1    SW_BLACK_KSC321JLFS KSC3  SWI_C&K_KSC321JLFS  Switch tactile
HW3   Shunt Black 2.54mm SNT-1                      Jumper
HW4   PCB MB1939                                    PCB MB1939
HW5   SOCKET_BGA289 SG-BGA-611                      Socket_IC
JP1   Jumper_Header 2x1 Header  CON_SAMTEC_TSW-102  Header
JP2   Jumper_Header 3x2 Jumper  CON_SAMTEC_TSM-103  Header
L1    BEAD 100R @ 100MHz        FIL_0603_H0P65      Ferrite bead
L2    BEAD 100R @ 100MHz        FIL_0603_H0P65      Ferrite bead
L3    Inductor 2.2uH            IND_4025_WURTH_744  Inductor
L4    Inductor 2.2nH            L0603               Inductor
L5    Inductor 240nH            IND_MURATA_DFE2016  Inductor
L6    Inductor 2.2uH            IND_4025_WURTH_744  Inductor
L7    Inductor 1.0uH            IND_MURATA_DFE2016  Inductor
L8    Inductor 18R @ 100MHz     IND_0603_LSMCA_H1P  Ferrite bead
LD1   LED_green Green           LED_0603_OSRAM_LG-  LED
LD2   LED_red Red               LED_0603_VISHAY_VL  LED
LD3   LED_BICOLOR Red/Green     LED_BI-GR_WE-15014  LED Bicolor
LD4   LED_BICOLOR Red/Green     LED_BI-GR_WE-15014  LED Bicolor
LD5   LED_green Green           LED_0603_OSRAM_LG-  LED
LD6   LED_green Green           LED_0603_OSRAM_LG-  LED
LD7   LED_green Green           LED_0603_OSRAM_LG-  LED
LD8   LED_red Red               LED_0603_VISHAY_VL  LED
LD9   LED_green Green           LED_0603_OSRAM_LG-  LED
LD10  LED_red Red               LED_0603_VISHAY_VL  LED
LE1   Inductor 4.7uH            L1210_LQH           Inductor
LNK1  link_200                  LINK200             Track link on PCB 200um width for layout routing
LNK2  link_200                  LINK200             Track link on PCB 200um width for layout routing
LNK3  link_200                  LINK200             Track link on PCB 200um width for layout routing
Q1    9013-SOT23 BSR14          NPN_SOT23           Transistor
Q2    BSN20BK                   MOS_SOT23           Transistor
Q3    STL40DN3LLH5              PowerFLAT_5x6       Transistor
Q4    STL40DN3LLH5              PowerFLAT_5x6       Transistor
Q5    9013-SOT23 BSR14          NPN_SOT23           Transistor
Q6    9013-SOT23 BSR14          NPN_SOT23           Transistor
Q7    MOSFET_N-CHANNEL Si1062X  MOS_SC89-3L         Transistor
R1    Resistor 330R             R0402               Resistor
R2    Resistor 680R             R0402               Resistor
R3    Resistor 100K             R0402               Resistor
R4    Resistor 47K              R0402               Resistor
R5    Resistor 10K              R0402               Resistor
R6    Resistor 0R               R0603               Resistor
R7    Resistor 22mR             R0603               Resistor
R8    Resistor 330R             R0402               Resistor
R9    Resistor 0R               R0603               Resistor
R10   Resistor 24K              R0402               Resistor
R11   Resistor 30K              R0402               Resistor
R12   Resistor 0R               R0402               Resistor
R13   Resistor 4K7              R0402               Resistor
R14   Resistor 4K7              R0402               Resistor
R15   Resistor 4K7              R0402               Resistor
R16   Resistor 4K7              R0402               Resistor
R17   Resistor 4K7              R0402               Resistor
R18   Resistor 4K7              R0402               Resistor
R19   Resistor 0R               R0603               Resistor
R20   Resistor 330mR            R0603               Resistor
R21   Resistor 0R               R0603               Resistor
R22   Resistor 0R               R0603               Resistor
R23   Resistor 0R               R0603               Resistor
R24   Resistor 330mR            R0603               Resistor
R25   Resistor 0R               R0402               Resistor
R26   Resistor 10K              R0402               Resistor
R27   Resistor 0R               R0603               Resistor
R28   Resistor 56K              R0402               Resistor
R29   Resistor 160K             R0402               Resistor
R30   Resistor 0R               R0603               Resistor
R31   Resistor 0R               R0603               Resistor
R32   Resistor 200R             R0402               Resistor
R33   Resistor 200R             R0402               Resistor
R34   Resistor 200R             R0402               Resistor
R35   Resistor 50mR             R0603               Resistor
R36   Resistor 1K5              R0402               Resistor
R37   Resistor 0R               R0402               Resistor
R38   Resistor 1K5              R0402               Resistor
R39   Resistor 0R               R0402               Resistor
R40   Resistor 0R               R0402               Resistor
R41   Resistor 0R               R0603               Resistor
R42   Resistor 0R               R0402               Resistor
R43   Resistor 0R               R0603               Resistor
R44   Resistor 0R               R0402               Resistor
R45   Resistor 0R               R0402               Resistor
R46   Resistor 0R               R0402               Resistor
R47   Resistor 0R               R0402               Resistor
R48   Resistor 0R               R0402               Resistor
R49   Resistor 0R               R0402               Resistor
R50   Resistor 0R               R0402               Resistor
R51   Resistor 0R               R0402               Resistor
R52   Resistor 0R               R0402               Resistor
R53   Resistor 0R               R0402               Resistor
R54   Resistor 0R               R0402               Resistor
R55   Resistor 0R               R0402               Resistor
R56   Resistor 0R               R0402               Resistor
R57   Resistor 0R               R0402               Resistor
R58   Resistor 0R               R0402               Resistor
R59   Resistor 0R               R0402               Resistor
R60   Resistor 0R               R0402               Resistor
R61   Resistor 0R               R0402               Resistor
R62   Resistor 0R               R0402               Resistor
R63   Resistor 0R               R0402               Resistor
R64   Resistor 0R               R0402               Resistor
R65   Resistor 0R               R0402               Resistor
R66   Resistor 0R               R0402               Resistor
R67   Resistor 0R               R0402               Resistor
R68   Resistor 0R               R0402               Resistor
R69   Resistor 0R               R0402               Resistor
R70   Resistor 0R               R0402               Resistor
R71   Resistor 0R               R0402               Resistor
R72   Resistor 0R               R0402               Resistor
R73   Resistor 47K              R0402               Resistor
R74   Resistor 47K              R0402               Resistor
R75   Resistor 10K              R0402               Resistor
R76   Resistor 47K              R0402               Resistor
R77   Resistor 47K              R0402               Resistor
R78   Resistor 0R               R0603               Resistor
R79   Resistor 0R               R0603               Resistor
R80   Resistor 750mR            R0603               Resistor
R81   Resistor 470K             R0402               Resistor
R82   Resistor 560K             R0402               Resistor
R83   Resistor 560K             R0402               Resistor
R84   Resistor 470K             R0402               Resistor
R85   Resistor 470K             R0402               Resistor
R86   Resistor 560K             R0402               Resistor
R87   Resistor 560K             R0402               Resistor
R88   Resistor 470K             R0402               Resistor
R89   Resistor 470K             R0402               Resistor
R90   Resistor 560K             R0402               Resistor
R91   Resistor 560K             R0402               Resistor
R92   Resistor 470K             R0402               Resistor
R93   Resistor 10K              R0402               Resistor
R94   Resistor 33R              R0402               Resistor
R95   Resistor 33R              R0402               Resistor
R96   Resistor 100K             R0402               Resistor
R97   Resistor 100K             R0402               Resistor
R98   Resistor 1K               R0402               Resistor
R99   Resistor 330R             R0402               Resistor
R100  Resistor 1K               R0402               Resistor
R101  Resistor 330R             R0402               Resistor
R102  Resistor 10K              R0402               Resistor
R103  Resistor 10K              R0402               Resistor
R104  Resistor 0R               R0402               Resistor
R105  Resistor 10K              R0402               Resistor
R106  Resistor 10K              R0402               Resistor
